"","Project ID","Project.Type","Offset.Project Operator","Project.Name","Offsets issued","Number of Offsets Un-retired (Estimated, as of Dec. 2018)","Percent of Offsets Sold (Estimated, as of Dec. 2018)","Vintage.Year","Offset Designation","Type of Protocol","Invalidation Period End Date","Invalidation Start","Issuance Date","Project.Documentation"
"375","CALS5146-A","Livestock","WTE-Dallmann, LLC","WTE:Dallmann, LLC",25570,0,100.00%,"2016","CCO-0","Compliance",2019-03-31,2016-03-31,2017-07-11,"CAR1143"
"374","CALS5153-A","Livestock","Holsum Dairies, LLC","Holsum Elm Dairy",21782,0,100.00%,"2016","CCO-0","Compliance",2019-03-31,2016-03-31,2017-07-25,"CAR1153"
"373","CALS5154-B","Livestock","Holsum Dairies, LLC","Holsum Irish Dairy",16023,0,100.00%,"2016","CCO-0","Compliance",2019-03-31,2016-03-31,2017-07-25,"CAR1154"
"372","CALS5284-A","Livestock","ClimeCo Corporation","Spruce Haven Farm COP",8956,0,100.00%,"2016","CCO-0","Compliance",2019-03-31,2016-03-31,2017-04-11,"CAR1184"
"371","CAFR5011-D","U.S. Forest","Yurok Tribe","Yurok Tribe/Forest Carbon",90929,66374,27.00%,"2016","CCO-8","Compliance",2024-03-31,2016-03-31,2017-12-12,"CAR993"
"370","CAOD5282-A","Ozone Depleting Substances","Coolgas, Inc.","Coolgas 2016:1",145594,145594,0.00%,"2016","CCO-0","Compliance",2019-04-04,2016-04-04,2016-09-13,"CAR1222"
"369","CAOD5261-A","Ozone Depleting Substances","EOS Climate, Inc.","EOS ACR 311",107264,0,100.00%,"2016","CCO-8","Compliance",2024-04-13,2016-04-13,2016-06-21,"ACR311"
"368","CAFR5106-A","U.S. Forest","The Conservation","Big River / Salmon Creek",73667,73667,0.00%,"2016","CCO-0","Compliance",2019-04-15,2016-04-15,2017-11-07,"CAR1100"
"367","CALS5077-C","Livestock","Solar & Renewables","Stotz Southern Generation",13552,0,100.00%,"2016","CCO-0","Compliance",2019-04-30,2016-04-30,2016-11-22,"CAR1078"
"366","CALS5180-A","Livestock","Green Valley Dairy,","Green Valley Dairy Methane",30890,0,100.00%,"2016","CCO-0","Compliance",2019-04-30,2016-04-30,2016-12-13,"CAR1106"
"365","CAOD5334-A","Ozone Depleting Substances","Diversified Pure","DPC Domestic ODS",22548,0,100.00%,"2016","CCO-0","Compliance",2019-04-30,2016-04-30,2016-10-11,"CAR1234"
"364","CAFR5130-B","U.S. Forest","MWF Brimstone"," MWF",9148,9148,0.00%,"2016","CCO-8","Compliance",2024-04-30,2016-04-30,2019-05-21,"CAR1130"
"363","CAOD5264-A","Ozone Depleting Substances","Wabashco, LLC","Wabashco Clean Sweep 8",111977,14469,87.08%,"2016","CCO-0","Compliance",2019-05-06,2016-05-06,2016-07-12,"ACR314"
"362","CAOD5336-A","Ozone Depleting Substances","Reclamation","A:Gas Americas 2016:2",181190,0,100.00%,"2016","CCO-0","Compliance",2019-05-21,2016-05-21,2016-09-27,"CAR1236"
"361","CAOD5073-A","Ozone Depleting Substances","EOS Climate, Inc.","EOS CAR 1074",57134,0,100.00%,"2016","CCO-8","Compliance",2024-05-26,2016-05-26,2016-09-13,"CAR1074"
"360","CAFR5055-C","U.S. Forest","Sustainable","Buckeye Forest Project",79600,600,99.25%,"2016","CCO-0","Compliance",2019-05-31,2016-05-31,2017-06-27,"CAR1013"
"359","CAFR5137-A","U.S. Forest","The Conservation","Gualala River Forest :  ARB",89607,89607,0.00%,"2016","CCO-8","Compliance",2024-05-31,2016-05-31,2017-12-12,"CAR1099"
"358","CAOD5335-A","Ozone Depleting Substances","Diversified Pure","DPC Domestic ODS",101950,0,100.00%,"2016","CCO-0","Compliance",2019-06-11,2016-06-11,2016-10-11,"CAR1235"
"357","CALS5293-A","Livestock","3Degrees Group, Inc.","Port of Tillamook Bay Regional",20133,0,100.00%,"2016","CCO-8","Compliance",2024-06-12,2016-06-12,2017-11-07,"CAR1233"
"356","CAFR5291-A","U.S. Forest","Mendocino Redwood","Hollow Tree",660635,660635,0.00%,"2016","CCO-8","Compliance",2024-06-13,2016-06-13,2019-03-12,"CAR1191"
"355","CAFR5003-D","U.S. Forest","Heartwood Forestland","Blue Source :  Bishop Improved",364181,252118,30.77%,"2016","CCO-8","Compliance",2024-06-23,2016-06-23,2017-08-08,"CAR973"
"354","CAFR5232-A","U.S. Forest","Western Rivers","Blue Creek",436608,0,100.00%,"2016","CCO-0","Compliance",2019-06-30,2016-06-30,2017-09-12,"ACR282"
"353","CALS5144-B","Livestock","ClimeCo Corporation","Patterson Farms COP",5921,0,100.00%,"2016","CCO-0","Compliance",2019-06-30,2016-06-30,2017-07-11,"CAR1137"
"352","CAFR5016-D","U.S. Forest","Edward Miller Trust","Miller Forest",6120,6120,0.00%,"2016","CCO-8","Compliance",2024-06-30,2016-06-30,2017-10-24,"ACR189"
"351","CAFR5043-C","U.S. Forest","Goodman Forest, LLC","Blue Source :  Goodman",23127,0,100.00%,"2016","CCO-8","Compliance",2024-06-30,2016-06-30,2017-04-11,"ACR202"
"350","CAFR5200-B","U.S. Forest","Edward Miller Trust","Brush Creek",8980,8980,0.00%,"2016","CCO-8","Compliance",2024-06-30,2016-06-30,2018-01-09,"ACR200"
"349","CAFR5242-A","U.S. Forest","Congaree River, LLC,","Congaree River",94711,0,100.00%,"2016","CCO-8","Compliance",2024-06-30,2016-06-30,2017-12-12,"ACR292"
"348","CAFR5280-A","U.S. Forest","Mailliard Ranch, a","Mailliard Ranch",763870,0,100.00%,"2016","CCO-8","Compliance",2024-06-30,2016-06-30,2017-10-10,"CAR1180"
"347","CAFR5225-A","U.S. Forest","Confederated Tribes"," Colville IFM",12163578,7609851,37.44%,"2016","CCO-0","Compliance",2019-07-07,2016-07-07,2017-09-26,"ACR255"
"346","CAFR5084-C","U.S. Forest","Potlatch Forest"," Potlatch Moro",15859,15859,0.00%,"2016","CCO-8","Compliance",2024-07-26,2016-07-26,2019-09-24,"CAR1086"
"345","CALS5014-D","Livestock","Blue Mountain Biogas,","Blue Mountain Biogas",33536,0,100.00%,"2016","CCO-0","Compliance",2019-07-31,2016-07-31,2017-07-11,"CAR997"
"344","CALS5128-B","Livestock","Farm Power","Farm Power Lynden Anaerobic",9488,0,100.00%,"2016","CCO-0","Compliance",2019-07-31,2016-07-31,2017-06-13,"CAR1128"
"343","CALS5143-C","Livestock","Grotegut Dairy Farm,","Grotegut Dairy Farm, Inc.",12913,12913,0.00%,"2016","CCO-0","Compliance",2019-07-31,2016-07-31,2019-06-11,"CAR1135"
"342","CALS5155-B","Livestock","Maple Leaf Dairy, Inc.","Maple Leaf Dairy West",14161,0,100.00%,"2016","CCO-0","Compliance",2019-07-31,2016-07-31,2018-02-27,"CAR1155"
"341","CALS5156-B","Livestock","Maple Leaf Dairy, Inc.","Maple Leaf Dairy East",7403,7403,0.00%,"2016","CCO-0","Compliance",2019-07-31,2016-07-31,2017-10-10,"CAR1156"
"340","CALS5176-B","Livestock","Dairy Energy, Inc.","Vanderhyde Dairy",9525,0,100.00%,"2016","CCO-0","Compliance",2019-07-31,2016-07-31,2017-04-25,"CAR1146"
"339","CALS5289-A","Livestock","3Degrees Group, Inc.","Homestead Green Energy",11533,0,100.00%,"2016","CCO-0","Compliance",2019-07-31,2016-07-31,2017-04-25,"ACR259"
"338","CAFR5072-C","U.S. Forest","White Mountain","White Mountain Apache Tribe",69317,62385,10.00%,"2016","CCO-8","Compliance",2024-07-31,2016-07-31,2017-08-22,"ACR211"
"337","CAFR5234-A","U.S. Forest","Green Diamond","Green Diamond Resource",62905,0,100.00%,"2016","CCO-8","Compliance",2024-07-31,2016-07-31,2017-12-12,"ACR274"
"336","CAOD5343-A","Ozone Depleting Substances","Wabashco, LLC","Wabashco Clean Sweep 9",93298,0,100.00%,"2016","CCO-8","Compliance",2024-07-31,2016-07-31,2016-11-08,"ACR343"
"335","CAOD5277-A","Ozone Depleting Substances","EOS Climate, Inc.","EOS ACR 315",86839,0,100.00%,"2016","CCO-8","Compliance",2024-08-12,2016-08-12,2016-11-08,"ACR315"
"334","CAOD5350-A","Ozone Depleting Substances","Tradewater, LLC","Tradewater ODS 1",116741,9584,91.79%,"2016","CCO-0","Compliance",2019-08-13,2016-08-13,2016-11-08,"ACR350"
"333","CAFR5105-B","U.S. Forest","Middleton Place, LLC","Green Assets :  Middleton",43045,3045,92.93%,"2016","CCO-0","Compliance",2019-08-14,2016-08-14,2017-01-24,"CAR1109"
"332","CAFR5283-A","U.S. Forest","Mescalero Apache","Forest Carbon Partners : ",3719171,1942715,47.76%,"2016","CCO-8","Compliance",2024-08-15,2016-08-15,2018-01-23,"CAR1183"
"331","CAFR5231-A","U.S. Forest","Wisconsin Northern","Blue Source :  Wisconsin",305122,305122,0.00%,"2016","CCO-8","Compliance",2024-08-26,2016-08-26,2018-11-13,"ACR281"
"330","CALS5139-B","Livestock","Edaleen Cow Power,","Edaleen Cow Power, LLC",8392,8392,0.00%,"2016","CCO-0","Compliance",2019-08-31,2016-08-31,2017-04-25,"ACR239"
"329","CAFR5089-C","U.S. Forest","Jackson Timberland"," JTO Champion",35979,3957,89.00%,"2016","CCO-8","Compliance",2024-08-31,2016-08-31,2017-12-12,"CAR1088"
"328","CAFR5195-B","U.S. Forest","Passamaquoddy Joint","",103973,4798,95.39%,"2016","CCO-8","Compliance",2024-08-31,2016-08-31,2017-08-08,"CAR1175"
"327","CAOD5278-A","Ozone Depleting Substances","EOS Climate, Inc.","EOS ACR 316",104897,4895,95.33%,"2016","CCO-8","Compliance",2024-09-04,2016-09-04,2016-11-08,"ACR316"
"326","CAOD5339-A","Ozone Depleting Substances","Coolgas, Inc.","Coolgas 2016:3",133239,0,100.00%,"2016","CCO-0","Compliance",2019-09-06,2016-09-06,2016-11-08,"CAR1239"
"325","CALS5223-B","Livestock","UW-Oshkosh","Rosendale Anaerobic Digester",36380,0,100.00%,"2016","CCO-0","Compliance",2019-09-15,2016-09-15,2017-05-23,"ACR283"
"324","CAFR5253-A","U.S. Forest","White Mountain","White Mountain Apache Tribe",5159212,3526358,31.65%,"2016","CCO-8","Compliance",2024-09-15,2016-09-15,2018-05-08,"ACR303"
"323","CAOD5354-A","Ozone Depleting Substances","Tradewater, LLC","Tradewater ODS 2",103357,0,100.00%,"2016","CCO-0","Compliance",2019-09-21,2016-09-21,2016-12-13,"ACR354"
"322","CAFR5199-B","U.S. Forest","Heartwood Forestland","Wyoming Improved Forest",233244,134987,42.13%,"2016","CCO-8","Compliance",2024-09-23,2016-09-23,2018-06-12,"ACR249"
"321","CAOD5351-A","Ozone Depleting Substances","EOS Climate, Inc.","EOS ACR 351",28562,28562,0.00%,"2016","CCO-8","Compliance",2024-09-28,2016-09-28,2016-12-13,"ACR351"
"320","CAFR5096-C","U.S. Forest","Coastal Forestlands,","Brushy Mountain",81728,81728,0.00%,"2016","CCO-3","Compliance",2019-09-30,2016-09-30,2017-03-21,"CAR1095"
"318","CALS5097-C","Livestock","Pagel's Ponderosa","Pagel's Ponderosa Dairy",22699,0,100.00%,"2016","CCO-3","Compliance",2019-09-30,2016-09-30,2018-06-12,"CAR1049"
"317","CALS5109-B","Livestock","Dairy Dreams, LLC","Dairy Dreams Methane",24473,0,100.00%,"2016","CCO-3","Compliance",2019-09-30,2016-09-30,2017-04-11,"CAR1097"
"316","CALS5349-A","Livestock","3Degrees Group, Inc.","Kettle Butte Digester",19666,0,100.00%,"2016","CCO-3","Compliance",2019-09-30,2016-09-30,2017-04-25,"ACR349"
"315","CAFR5212-B","U.S. Forest","Ross Bewley","Bewley Ranches",58664,58664,0.00%,"2016","CCO-8","Compliance",2024-09-30,2016-09-30,2019-01-22,"ACR262"
"314","CAMM5342-A","Mine Methane","Wabashco, LLC","Baker Mine AMM",2236,0,100.00%,"2016","CCO-8","Compliance",2024-10-04,2016-10-04,2017-04-11,"ACR342"
"313","CAOD5290-A","Ozone Depleting Substances","Perfect Score","Perfect Cycle ODS:2",42233,2233,94.71%,"2016","CCO-3","Compliance",2019-10-17,2016-10-17,2017-03-07,"CAR1242"
"312","CAFR5093-A","U.S. Forest","Huron Mountain Club","Huron Mountain Club Forest",1099667,1099667,0.00%,"2016","CCO-8","Compliance",2024-10-20,2016-10-20,2019-07-09,"ACR210"
"311","CAFR5205-B","U.S. Forest","Lukens Island Timber","Green Assets :  Lukens",147442,0,100.00%,"2016","CCO-3","Compliance",2019-10-29,2016-10-29,2017-05-23,"ACR265"
"310","CALS5023-D","Livestock","DF-AP#1, LLC","Big Sky Dairy",22071,22071,0.00%,"2016","CCO-3","Compliance",2019-10-29,2016-10-29,2018-03-13,"ACR190"
"309","CALS5126-B","Livestock","Riverview, LLP","West River Farm Anaerobic",20998,0,100.00%,"2016","CCO-3","Compliance",2019-10-31,2016-10-31,2017-05-09,"CAR1126"
"308","CALS5127-B","Livestock","Riverview, LLP","District 45 Dairy",23396,0,100.00%,"2016","CCO-3","Compliance",2019-10-31,2016-10-31,2017-05-23,"CAR1127"
"307","CALS5175-B","Livestock","Storms Hog Power","Storms Hog Power, LLC",7838,0,100.00%,"2016","CCO-3","Compliance",2019-10-31,2016-10-31,2017-11-07,"CAR1145"
"306","CALS5245-A","Livestock","Open Sky Ranch, Inc.","Open Sky Ranch Dairy Digester",18782,29,99.85%,"2016","CCO-3","Compliance",2019-10-31,2016-10-31,2017-05-23,"CAR1178"
"305","CALS5042-D","Livestock","Sunny Knoll Farms","Sunny Knoll Farms Anaerobic",4942,0,100.00%,"2016","CCO-8","Compliance",2024-10-31,2016-10-31,2018-05-22,"CAR1033"
"304","CALS5101-B","Livestock","ClimeCo Corporation","Vander Haak Dairy COP",1681,1681,0.00%,"2016","CCO-8","Compliance",2024-10-31,2016-10-31,2018-12-11,"CAR1101"
"303","CAOD5352-A","Ozone Depleting Substances","EOS Climate, Inc.","EOS ACR 352",68637,68637,0.00%,"2016","CCO-8","Compliance",2024-11-01,2016-11-01,2016-12-27,"ACR352"
"302","CALS5134-B","Livestock","Alliance Dairies","Alliance Dairy",14787,0,100.00%,"2016","CCO-3","Compliance",2019-11-05,2016-11-05,2017-06-13,"ACR234"
"301","CAOD5287-A","Ozone Depleting Substances","Diversified Pure","DPC Domestic ODS",54382,54382,0.00%,"2016","CCO-3","Compliance",2019-11-05,2016-11-05,2017-04-11,"CAR1243"
"300","CAOD5340-A","Ozone Depleting Substances","Reclamation","A:Gas O’Hare",111348,0,100.00%,"2016","CCO-3","Compliance",2019-11-05,2016-11-05,2016-12-13,"CAR1240"
"299","CAFR5148-A","U.S. Forest","Montesol, LLC","Montesol :  Forest Carbon",176441,176441,0.00%,"2016","CCO-8","Compliance",2024-11-15,2016-11-15,2018-08-07,"CAR1102"
"298","CAOD5359-A","Ozone Depleting Substances","Tradewater, LLC","Tradewater ODS 3",97813,97813,0.00%,"2016","CCO-3","Compliance",2019-11-24,2016-11-24,2017-02-07,"ACR359"
"297","CALS5181-B","Livestock","Gardeau Crest Farms,","Gardeau Crest Dairy",14760,14760,0.00%,"2016","CCO-3","Compliance",2019-11-26,2016-11-26,2017-07-25,"ACR241"
"296","CALS5138-B","Livestock","Willet Dairy, LLC","Willet Dairy",15159,15159,0.00%,"2016","CCO-3","Compliance",2019-11-29,2016-11-29,2017-07-25,"ACR238"
"295","CALS5135-B","Livestock","Synergy Biogas, LLC","Synergy Biogas, LLC",8081,8081,0.00%,"2016","CCO-3","Compliance",2019-11-30,2016-11-30,2017-05-09,"ACR235"
"294","CALS5263-B","Livestock","Davis Family Dairies,","High Island Dairy",15385,15385,0.00%,"2016","CCO-3","Compliance",2019-11-30,2016-11-30,2017-12-12,"ACR313"
"293","CAFR5028-D","U.S. Forest","Round Valley Indian","Round Valley Indian Tribes",2926,2926,0.00%,"2016","CCO-8","Compliance",2024-11-30,2016-11-30,2019-02-12,"ACR173"
"292","CAFR5294-A","U.S. Forest","Sealaska Corporation"," Sealaska",9306732,4731970,49.16%,"2016","CCO-3","Compliance",2019-12-09,2016-12-09,2018-03-13,"ACR324"
"291","CAFR5206-B","U.S. Forest","Milbury Plantation,","Green Assets :  Milbury",316480,149919,52.63%,"2016","CCO-3","Compliance",2019-12-10,2016-12-10,2017-06-13,"ACR266"
"290","CAFR5233-A","U.S. Forest","Green Diamond","Green Diamond Resource",136805,0,100.00%,"2016","CCO-8","Compliance",2024-12-15,2016-12-15,2018-10-23,"ACR273"
"289","CALS5108-B","Livestock","Ag Power Jerome,","Double A Dairy",54602,53716,1.62%,"2016","CCO-3","Compliance",2019-12-21,2016-12-21,2017-05-23,"ACR233"
"288","CAOD5333-A","Ozone Depleting Substances","ClimeCo Corporation","ClimeCo ODS Destruction 18",226896,155297,31.56%,"2016","CCO-3","Compliance",2019-12-27,2016-12-27,2017-05-23,"CAR1250"
"287","CAOD5356-A","Ozone Depleting Substances","EOS Climate, Inc.","EOS ACR 356",110720,0,100.00%,"2016","CCO-8","Compliance",2024-12-28,2016-12-28,2017-03-21,"ACR356"
"286","CALS5044-D","Livestock","ClimeCo Corporation","T&M Bos Dairy",9230,0,100.00%,"2016","CCO-3","Compliance",2019-12-31,2016-12-31,2018-10-26,"CAR1055"
"285","CALS5046-D","Livestock","ClimeCo Corporation","T&M Hidden View Dairy",3944,0,100.00%,"2016","CCO-3","Compliance",2019-12-31,2016-12-31,2018-10-26,"CAR1057"
"284","CALS5047-D","Livestock","ClimeCo Corporation","T&M Windy Ridge Dairy",23322,0,100.00%,"2016","CCO-3","Compliance",2019-12-31,2016-12-31,2018-10-26,"CAR1058"
"283","CALS5107-B","Livestock","Ag Power DCD, LLC","The Dry Creek Dairy Biofactory",50088,50088,0.00%,"2016","CCO-3","Compliance",2019-12-31,2016-12-31,2017-08-22,"ACR232"
"282","CALS5131-B","Livestock","Pacific Rim Energy,","Pacific Rim Dairy Digester",32279,32279,0.00%,"2016","CCO-3","Compliance",2019-12-31,2016-12-31,2017-07-25,"CAR1108"
"281","CALS5132-C","Livestock","RES Agriculture NC1,","RES Ag :  DM4:3 LLC",10526,0,100.00%,"2016","CCO-3","Compliance",2019-12-31,2016-12-31,2017-09-12,"CAR1132"
"280","CALS5133-C","Livestock","RES Agriculture NC1,","RES Ag :  DM2:1 LLC",5934,0,100.00%,"2016","CCO-3","Compliance",2019-12-31,2016-12-31,2017-09-26,"CAR1133"
"279","CALS5145-A","Livestock","ClimeCo Corporation","Sunnyside Farms COP",51607,309,99.40%,"2016","CCO-3","Compliance",2019-12-31,2016-12-31,2018-01-23,"CAR1138"
"278","CALS5152-C","Livestock","Aurora Ridge Dairy,","Aurora Ridge Dairy",13363,0,100.00%,"2016","CCO-3","Compliance",2019-12-31,2016-12-31,2018-02-13,"CAR1152"
"277","CAMM5100-C","Mine Methane","McElroy Green","Marshall County VAM",271395,221395,18.42%,"2016","CCO-3","Compliance",2019-12-31,2016-12-31,2017-09-26,"ACR226"
"276","CAMM5178-B","Mine Methane","Solvay Chemicals, Inc.","Solvay Chemicals, Inc. Waste",234621,0,100.00%,"2016","CCO-3","Compliance",2019-12-31,2016-12-31,2017-08-22,"CAR1105"
"275","CAMM5244-A","Mine Methane","Keyrock Energy, LLC","Corinth Abandoned Mine",298891,0,100.00%,"2016","CCO-3","Compliance",2019-12-31,2016-12-31,2017-03-07,"ACR388 (RP2-RP3)"
"274","CAFR5147-A","U.S. Forest","The Nature","Virginia Conservation Forestry",61714,56431,8.56%,"2016","CCO-8","Compliance",2024-12-31,2016-12-31,2018-08-21,"CAR1147"
"273","CAFR5159-A","U.S. Forest","The Nature","Virginia Conservation Forestry",41473,32396,21.89%,"2016","CCO-8","Compliance",2024-12-31,2016-12-31,2018-02-13,"CAR1159"
"272","CAFR5160-A","U.S. Forest","The Nature","Virginia Conservation Forestry",25146,25146,0.00%,"2016","CCO-8","Compliance",2024-12-31,2016-12-31,2018-02-27,"CAR1160"
"271","CAFR5170-B","U.S. Forest","Coastal Ridges LLC, a","Willits Woods IFM",152358,152358,0.00%,"2016","CCO-8","Compliance",2024-12-31,2016-12-31,2017-08-08,"CAR1140"
"270","CAFR5171-A","U.S. Forest","Fred M. van Eck","Van Eck Forest",8426,8426,0.00%,"2016","CCO-8","Compliance",2024-12-31,2016-12-31,2019-05-21,"CAR1141"
"269","CAFR5182-A","U.S. Forest","Norfolk Southern"," Brosnan Forest",22953,22953,0.00%,"2016","CCO-8","Compliance",2024-12-31,2016-12-31,2018-09-11,"CAR1134"
"268","CAFR5281-C","U.S. Forest","Usal Redwood Forest","Usal Redwood Forest :  IFM",250962,250962,0.00%,"2016","CCO-8","Compliance",2024-12-31,2016-12-31,2019-05-21,"CAR1139"
"267","CALS5081-B","Livestock","Roeslein Alternative","Roeslein Alternative Energy of",15258,0,100.00%,"2016","CCO-8","Compliance",2024-12-31,2016-12-31,2018-02-27,"CAR1083"
"266","CALS5151-B","Livestock","Gallo Cattle Company,","Cottonwood Dairy Livestock",10438,10438,0.00%,"2016","CCO-8","Compliance",2024-12-31,2016-12-31,2018-10-09,"CAR1151"
"265","CALS5197-B","Livestock","Pixley Biogas, LLC","Pixley Biogas, LLC",10505,10505,0.00%,"2016","CCO-8","Compliance",2024-12-31,2016-12-31,2019-01-22,"CAR1177"
"501","CAFR5034-B","U.S. Forest","Connecticut Lakes"," The Forestland",98142,98142,0.00%,"2015","CCO-8","Compliance",2023-01-07,2015-01-07,2018-12-24,"ACR199"
"500","CAFR5058-A","U.S. Forest","Sierra Pacific","Buck Mountain ARB002",244181,50000,79.52%,"2015","CCO-8","Compliance",2023-01-25,2015-01-25,2017-11-21,"CAR1066"
"499","CALS5025-B","Livestock","Ideal Family Farms,","Ideal Family Farms Digester",2269,0,100.00%,"2015","CCO-0","Compliance",2018-01-31,2015-01-31,2017-04-11,"CAR1002"
"498","CALS5040-A","Livestock","Scenic View Dairy,","Scenic View Dairy Methane",18359,0,100.00%,"2015","CCO-0","Compliance",2018-01-31,2015-01-31,2015-11-09,"CAR1035"
"497","CALS5041-B","Livestock","Brook View Dairy, LLC","Brook View Dairy Methane",14773,14773,0.00%,"2015","CCO-0","Compliance",2018-01-31,2015-01-31,2015-07-21,"CAR1036"
"496","CALS5045-B","Livestock","ClimeCo Corporation","T&M Herrema Dairy",12450,12450,0.00%,"2015","CCO-0","Compliance",2018-01-31,2015-01-31,2016-04-12,"CAR1056"
"495","CAFR5038-A","U.S. Forest","Sierra Pacific","Sacramento Canyon ARB001",534860,529041,1.09%,"2015","CCO-8","Compliance",2023-02-03,2015-02-03,2017-11-21,"CAR1041"
"494","CAOD5099-A","Ozone Depleting Substances","Wabashco, LLC","Wabashco Clean Sweep 4",110003,106054,3.59%,"2015","CCO-0","Compliance",2018-02-13,2015-02-13,2015-05-12,"ACR225"
"493","CAOD5185-A","Ozone Depleting Substances","Reclamation","A:GAS Americas 2015:1",134418,31958,76.22%,"2015","CCO-0","Compliance",2018-03-02,2015-03-02,2015-10-27,"CAR1171"
"492","CAOD5068-A","Ozone Depleting Substances","EOS Climate, Inc.","EOS ACR 213",127664,92365,27.65%,"2015","CCO-0","Compliance",2018-03-24,2015-03-24,2015-06-23,"ACR213"
"491","CAFR5011-C","U.S. Forest","Yurok Tribe","Yurok Tribe/Forest Carbon",16436,822,95.00%,"2015","CCO-0","Compliance",2018-03-31,2015-03-31,2016-02-23,"CAR993"
"490","CALS5019-B","Livestock","WTE Wakker, LLC","Wakker Digester",7599,0,100.00%,"2015","CCO-0","Compliance",2018-03-31,2015-03-31,2016-02-09,"CAR989"
"489","CALS5020-B","Livestock","WTE Deer Run, LLC","Deer Run Digester",4095,0,100.00%,"2015","CCO-0","Compliance",2018-03-31,2015-03-31,2016-02-09,"CAR982"
"488","CALS5021-B","Livestock","WTE Dairyland, LLC","Dairyland Digester",16381,0,100.00%,"2015","CCO-0","Compliance",2018-03-31,2015-03-31,2016-02-09,"CAR969"
"487","CALS5074-B","Livestock","CSE Operating I, LLC","CSE Arizona Facility",9635,0,100.00%,"2015","CCO-0","Compliance",2018-03-31,2015-03-31,2016-04-26,"CAR1076"
"486","CALS5122-A","Livestock","Bridgewater Dairy,","Bridgewater Dairy LLC",11633,0,100.00%,"2015","CCO-0","Compliance",2018-03-31,2015-03-31,2016-02-23,"CAR1122"
"485","CALS5123-A","Livestock","Central Sands Dairy,","Central Sands Dairy, LLC",13102,0,100.00%,"2015","CCO-0","Compliance",2018-03-31,2015-03-31,2016-06-07,"CAR1123"
"484","CALS5124-A","Livestock","Willow Point Dairy,","Willow Point Dairy, LLC",12678,0,100.00%,"2015","CCO-0","Compliance",2018-03-31,2015-03-31,2016-02-23,"CAR1124"
"483","CALS5154-A","Livestock","Holsum Dairies, LLC","Holsum Irish Dairy",15841,5380,66.04%,"2015","CCO-0","Compliance",2018-03-31,2015-03-31,2016-01-12,"CAR1154"
"482","CAOD5078-A","Ozone Depleting Substances","Diversified Pure","DPC Domestic ODS",128161,81161,36.67%,"2015","CCO-0","Compliance",2018-04-19,2015-04-19,2015-08-11,"CAR1087"
"481","CAOD5177-A","Ozone Depleting Substances","Wabashco, LLC","Wabashco Clean Sweep 5",57589,12040,79.09%,"2015","CCO-0","Compliance",2018-04-23,2015-04-23,2015-07-07,"ACR244"
"480","CALS5077-B","Livestock","Solar & Renewables","Stotz Southern Generation",13506,13506,0.00%,"2015","CCO-0","Compliance",2018-04-30,2015-04-30,2016-05-24,"CAR1078"
"479","CAFR5130-A","U.S. Forest","MWF Brimstone"," MWF",7873,5905,25.00%,"2015","CCO-8","Compliance",2023-04-30,2015-04-30,2016-08-09,"CAR1130"
"478","CALS5075-B","Livestock","CSE Operating II, LLC","Linde",1523,0,100.00%,"2015","CCO-8","Compliance",2023-04-30,2015-04-30,2017-05-09,"CAR1077"
"477","CAOD5069-A","Ozone Depleting Substances","EOS Climate, Inc.","EOS ACR 214",145580,0,100.00%,"2015","CCO-8","Compliance",2023-05-20,2015-05-20,2015-07-21,"ACR214"
"476","CAFR5055-B","U.S. Forest","Sustainable","Buckeye Forest Project",95539,45539,52.33%,"2015","CCO-0","Compliance",2018-05-31,2015-05-31,2016-12-13,"CAR1013"
"475","CAFR5149-A","U.S. Forest","Ronald Glass","Forest Carbon Partners :  Glass",218922,122290,44.14%,"2015","CCO-8","Compliance",2023-06-21,2015-06-21,2016-11-08,"CAR1103"
"474","CAFR5003-C","U.S. Forest","Heartwood Forestland","Blue Source :  Bishop Improved",282627,91313,67.69%,"2015","CCO-0","Compliance",2018-06-23,2015-06-23,2016-09-27,"CAR973"
"473","CALS5144-A","Livestock","ClimeCo Corporation","Patterson Farms COP",8379,0,100.00%,"2015","CCO-0","Compliance",2018-06-30,2015-06-30,2016-06-21,"CAR1137"
"472","CAFR5016-C","U.S. Forest","Edward Miller Trust","Miller Forest",5911,0,100.00%,"2015","CCO-8","Compliance",2023-06-30,2015-06-30,2016-04-26,"ACR189"
"471","CAFR5043-B","U.S. Forest","Goodman Forest, LLC","Blue Source :  Goodman",14986,0,100.00%,"2015","CCO-8","Compliance",2023-06-30,2015-06-30,2017-04-11,"ACR202"
"470","CAFR5200-A","U.S. Forest","Edward Miller Trust","Brush Creek",53171,0,100.00%,"2015","CCO-8","Compliance",2023-06-30,2015-06-30,2016-09-27,"ACR200"
"469","CAOD5201-A","Ozone Depleting Substances","Reclamation","A:GAS Americas 2015:2",135577,0,100.00%,"2015","CCO-0","Compliance",2018-07-01,2015-07-01,2016-03-22,"CAR1179"
"468","CALS5121-A","Livestock","Fair Oaks Dairy Farm,","Fair Oaks Dairy Farm LLC",7421,0,100.00%,"2015","CCO-8","Compliance",2023-07-22,2015-07-22,2016-08-09,"CAR1121"
"467","CAFR5084-B","U.S. Forest","Potlatch Forest"," Potlatch Moro",7898,7898,0.00%,"2015","CCO-8","Compliance",2023-07-26,2015-07-26,2019-09-24,"CAR1086"
