"","Project ID","Project.Type","Offset.Project Operator","Project.Name","Offsets issued","Number of Offsets Un-retired (Estimated, as of Dec. 2018)","Percent of Offsets Sold (Estimated, as of Dec. 2018)","Vintage.Year","Offset Designation","Type of Protocol","Invalidation Period End Date","Invalidation Start","Issuance Date","Project.Documentation"
"798","CAOD0016-G2","Ozone Depleting Substances","EOS Climate, Inc.","EOS:JA:09:01",34007,0,100.00%,"2011","CCO-8","Compliance",2023-10-13,2015-10-13,2015-10-13,"CAR604"
"797","CAOD0017-G2","Ozone Depleting Substances","EOS Climate, Inc.","EOS:CAR2011 Domestic",50000,0,100.00%,"2011","CCO-8","Early Action",2023-10-13,2015-10-13,2015-10-13,"CAR804"
"796","CAFR0041-C","U.S. Forest","The Conservation","Big River / Salmon Creek",38765,4765,87.71%,"2011","CCO-0","Early Action",2018-10-27,2015-10-27,2015-10-27,"CAR408"
"795","CAFR0103-E","U.S. Forest","MWF Brimstone"," MWF",8918,0,100.00%,"2011","CCO-0","Early Action",2018-10-27,2015-10-27,2015-10-27,"CAR582"
"794","CALS0082-D","Livestock","Dairy Dreams, LLC","Dairy Dreams",13309,0,100.00%,"2011","CCO-0","Early Action",2018-10-27,2015-10-27,2015-10-27,"CAR994"
"793","CAFR0031-G","U.S. Forest","Brinkley Melvin","Blue Source :  Pocosin Lakes",23302,15000,35.63%,"2011","CCO-8","Compliance",2023-10-27,2015-10-27,2015-10-27,"CAR676"
"792","CAFR0064-A","U.S. Forest","Yurok Tribe","Yurok Tribe Sustainable Forest",1048997,247081,76.45%,"2011","CCO-0","Early Action",2018-11-09,2015-11-09,2015-11-09,"CAR777"
"791","CAFR0040-B","U.S. Forest","The Conservation","Garcia River Forest",81,81,0.00%,"2011","CCO-8","Early Action",2023-11-09,2015-11-09,2015-11-09,"CAR102"
"790","CAMM0118-B","Mine Methane","Keyrock Energy, LLC","Corinth Abandoned Mine",71398,0,100.00%,"2011","CCO-8","Compliance",2023-11-09,2015-11-09,2015-11-09,"573"
"789","CAFR0087-B","U.S. Forest","Norfolk Southern"," Brosnan Forest",8764,0,100.00%,"2011","CCO-0","Compliance",2018-11-23,2015-11-23,2015-11-23,"CAR658"
"788","CAFR0073-E","U.S. Forest","Bascom Pacific, LLC","McCloud River",15038,0,100.00%,"2011","CCO-8","Compliance",2023-11-23,2015-11-23,2015-11-23,"CAR429"
"787","CALS0117-C","Livestock","Aurora Ridge Dairy,","Aurora Ridge",11271,0,100.00%,"2011","CCO-0","Early Action",2018-12-08,2015-12-08,2015-12-08,"CAR607"
"786","CAFR0040-B2","U.S. Forest","The Conservation","Garcia River Forest",20190,0,100.00%,"2011","CCO-8","Early Action",2023-12-22,2015-12-22,2015-12-22,"CAR102"
"785","CAOD0078-B","Ozone Depleting Substances","Honeywell","Honeywell ODS Destruction",17063,0,100.00%,"2011","CCO-8","Early Action",2023-12-22,2015-12-22,2015-12-22,"CAR901"
"784","CAMM0101-A","Mine Methane","Solvay Chemicals, Inc.","Green River Trona Mine",80508,0,100.00%,"2011","CCO-0","Early Action",2019-01-26,2016-01-26,2016-01-26,"CAR629"
"783","CAFR0049-E","U.S. Forest","Fred M. van Eck","The Van Eck Forest",31327,24786,20.88%,"2011","CCO-0","Compliance",2019-02-09,2016-02-09,2016-02-09,"CAR101"
"782","CAFR0057-F","U.S. Forest","The Nature","Virginia Conservation Forestry",7535,7535,0.00%,"2011","CCO-0","Early Action",2019-02-23,2016-02-23,2016-02-23,"CAR696"
"781","CAFR0116-E","U.S. Forest","New England Forestry"," NEFF",3082,2685,12.88%,"2011","CCO-8","Early Action",2024-02-23,2016-02-23,2016-02-23,"CAR672"
"780","CALS0035-C","Livestock","Origin Climate Inc.","Scenic View Dairy",16828,5567,66.92%,"2011","CCO-0","Compliance",2019-04-26,2016-04-26,2016-04-26,"CAR418"
"779","CAFR0041-C2","U.S. Forest","The Conservation","Big River / Salmon Creek",22613,0,100.00%,"2011","CCO-0","Early Action",2019-08-09,2016-08-09,2016-08-09,"CAR408"
"778","CAFR0049-E2","U.S. Forest","Fred M. van Eck","The Van Eck Forest",4038,0,100.00%,"2011","CCO-0","Compliance",2019-08-09,2016-08-09,2016-08-09,"CAR101"
"777","CAFR0123-E","U.S. Forest","Usal Redwood Forest","Usal Redwood Forest",242386,0,100.00%,"2011","CCO-0","Early Action",2019-08-09,2016-08-09,2016-08-09,"CAR730"
"776","CAMM0101-A2","Mine Methane","Solvay Chemicals, Inc.","Green River Trona Mine",10978,0,100.00%,"2011","CCO-0","Early Action",2019-08-09,2016-08-09,2016-08-09,"CAR629"
"775","CAFR0041-C3","U.S. Forest","The Conservation","Big River / Salmon Creek",47119,12119,74.28%,"2011","CCO-0","Early Action",2019-08-31,2016-08-31,2016-08-31,"CAR408"
"774","CAFR0102-E","U.S. Forest","The Nature","Virginia Conservation Forestry",5388,0,100.00%,"2011","CCO-0","Early Action",2019-08-31,2016-08-31,2016-08-31,"CAR697"
