,Offset Project Operator,Project Name,Project Type,State,tot,Project.Owner,Website,City,State2
268,Nisqually Land Trust,Ashford III,Forest,WA,46875,Washington Environmental Council,https://wecprotects.org/,Ashford,WA
22,"Aurora Ridge Dairy, LLC",Aurora Ridge,Livestock,NY,42642,Ag Methane Advisors,http://www.agmethaneadvisors.com/,Aurora,NY
23,"Aurora Ridge Dairy, LLC",Aurora Ridge Dairy,Livestock,NY,50933,Ag Methane Advisors,http://www.agmethaneadvisors.com/,Aurora,NY
416,"Wabashco, LLC",Baker Mine AMM,MMC,KY,2236,"Wabashco, Inc",0,Wilsonville,KY
349,Ross Bewley,Bewley Ranches,Forest,CA,820400,Bewley Ranches,0,Mendocino,CA
370,The Conservation Fund,Big River / Salmon Creek Forests,Forest,CA,976671,The Conservation Fund,https://www.conservationfund.org/,Mendocino,CA
371,The Conservation Fund,Big River / Salmon Creek Forests - ARB,Forest,CA,244726,The Conservation Fund,https://www.conservationfund.org/,Mendocino,CA
115,"DF-AP#1, LLC",Big Sky Dairy,Livestock,ID,114253,Bonneville Environmental Foundation,http://www.b-e-f.org/,Jerome ,ID
426,Western Rivers Forestry,Blue Creek,Forest,CA,855090,Bonneville Environmental Foundation,http://www.westernrivers.org/projectatlas/blue-creek/,Crescent City,CA
19,"Alpental Energy Partners, LLC",Blue Mountain Biogas,Livestock,UT,137130,Blue Mountain Biogas,0,Cedar City,UT
30,"Blue Mountain Biogas, LLC",Blue Mountain Biogas,Livestock,UT,55139,Blue Mountain Biogas,0,Cedar City,UT
17,"Allegheny Rural NMTC Forestlands, LLC",Blue Source - Allegheny Improved Forest Management Project,Forest,WV,2119179,Blue Source,http://www.bluesource.com/,Horner,WV
