,Offset.Project.Operator,Project.Name,Project Type,tot,Project Owner,Website
102,Downeast Lakes Land,Finite Carbon Farm Cove,U.S. Forest,229402,Finite Carbon,https://www.finitecarbon.com/
158,"Fiscalini Properties,",Fiscalini Farms Anaerobic,Livestock,17840,Fiscalini Properties,0
17,Berea College,Forest Carbon Partners –,U.S. Forest,303715,Forest Carbon Partners,http://newforests.com.au/forests-carbon-partners/
167,GM Gabrych Family,Forest Carbon Partners –,U.S. Forest,231958,Forest Carbon Partners,http://newforests.com.au/forests-carbon-partners/
207,Mescalero Apache,Forest Carbon Partners –,U.S. Forest,3719171,Forest Carbon Partners,http://newforests.com.au/forests-carbon-partners/
105,Eddie Ranch,Forest Carbon Partners – Eddie,U.S. Forest,222177,Forest Carbon Partners,http://newforests.com.au/forests-carbon-partners/
283,Ronald Glass,Forest Carbon Partners – Glass,U.S. Forest,218922,Forest Carbon Partners,http://newforests.com.au/forests-carbon-partners/
305,The Conservation,Garcia River Forest,U.S. Forest,254857,The Conservation Fund,https://www.conservationfund.org/
306,The Conservation,Garcia River Forest – ARB,U.S. Forest,349598,The Conservation Fund,https://www.conservationfund.org/
35,Camco International,Gardeau Crest Dairy,Livestock,22054,Camco International,https://www.camco.energy/
162,"Gardeau Crest Farms,",Gardeau Crest Dairy,Livestock,56187,Gardeau Crest,https://www.camco.energy/
163,George DeRuyter and,George DeRuyter and Sons,Livestock,28932,Terrapass,https://www.terrapass.com/project/george-deruyter-and-sons-dairy
164,GJ TeVelde Ranch,GJ TeVelde Ranch Dairy,Livestock,27942,GJ TeVelde Ranch,0
94,CTB Timberland,Green Assets – BJT Avoided,U.S. Forest,243527,Green Assets,https://www.green-assets.com/
182,Holland M. Ware,Green Assets – HMWCF-I,U.S. Forest,729216,Green Assets,https://www.green-assets.com/
183,Holland M. Ware,Green Assets – HMWCF-II,U.S Forest,548909,Green Assets,https://www.green-assets.com/
197,Lukens Island Timber,Green Assets – Lukens,U.S. Forest,199588,Green Assets,https://www.green-assets.com/
210,"Middleton Place, LLC",Green Assets – Middleton,U.S. Forest,453455,Green Assets,https://www.green-assets.com/
211,"Milbury Plantation,",Green Assets – Milbury,U.S. Forest,743046,Green Assets,https://www.green-assets.com/
24,Brookgreen Gardens,Green Assets-Brookgreen,U.S. Forest,162551,Green Assets,https://www.green-assets.com/
170,Green Diamond,Green Diamond Resource,U.S. Forest,485492,Green Diamond Resource Company,https://www.greendiamond.com/
36,Camco International,Green Meadow Farm,Livestock,4565,Camco International,https://www.camco.energy/
293,"Solvay Chemicals, Inc.",Green River Trona Mine,Mine Methane,498654,Solvay Chemicals Inc.,https://www.solvay.us/en/index.html
227,Origin Climate Inc.,Green Valley Dairy,Livestock,47304,3Degrees,https://3degreesinc.com/
171,"Green Valley Dairy,",Green Valley Dairy Methane,Livestock,66954,Terrapass,https://www.terrapass.com/
205,Mendocino Redwood,Greenwood Creek,U.S. Forest,267975,Mendocino Redwood Company,https://www.hrcllc.com/
2,"3Degrees Group, Inc.",Greenwood Dairy Anaerobic,Livestock,15735,3Degrees,https://3degreesinc.com/
173,"Grotegut Dairy Farm,","Grotegut Dairy Farm, Inc.",Livestock,43865,Terrapass,https://www.terrapass.com/
307,The Conservation,Gualala River Forest,U.S. Forest,283014,The Conservation Fund,https://www.conservationfund.org/
308,The Conservation,Gualala River Forest – ARB,U.S. Forest,235840,The Conservation Fund,https://www.conservationfund.org/
174,Hanes Ranch,Hanes Ranch Forest Carbon,U.S. Forest,102870,Forest Carbon Partners,http://newforests.com.au/forests-carbon-partners/
118,Environmental Credit,Herrema Dairy,Livestock,19480,ClimeCo,https://climeco.com/
119,Environmental Credit,Hidden View Dairy,Livestock,36730,ClimeCo,https://climeco.com/
99,"Davis Family Dairies,",High Island Dairy,Livestock,52086,High Island Dairy,
206,Mendocino Redwood,Hollow Tree,U.S. Forest,660635,Mendocino Redwood Company,https://www.hrcllc.com/
184,"Holsum Dairies, LLC",Holsum Elm,Livestock,48567,Holsum Dairies,www.holsumdairies.com/
185,"Holsum Dairies, LLC",Holsum Elm Dairy,Livestock,48481,Holsum Dairies,www.holsumdairies.com/
186,"Holsum Dairies, LLC",Holsum Irish Dairy,Livestock,72657,Holsum Dairies,www.holsumdairies.com/
3,"3Degrees Group, Inc.",Homestead Green Energy,Livestock,23745,3Degrees,https://3degreesinc.com/
187,Honeywell,Honeywell ODS Destruction,Ozone Depleting Substances,128072,Honeywell Refridgerants,
223,Northeast Wilderness,Howland Research Forest,U.S. Forest,39469,Northeast Wilderness Trust,www.newildernesstrust.org/wild-carbon/mitigation/
188,Hudson Technologies,Hudson Tech 2018-1,Ozone Depleting Substances,21967,Hudson Technologies,https://www.hudsontech.com/
