,Offset.Project Operator,Project.Name,Project Type,tot,Project Owner ,Website,City,State
139,EOS Climate (Blue Source),EOS ACR 315,Ozone Depleting Substances,86839,Blue Source,http://www.bluesource.com/,Bowling Green,OH
140,EOS Climate (Blue Source),EOS ACR 316,Ozone Depleting Substances,104897,Blue Source,http://www.bluesource.com/,El Dorado,AR
141,EOS Climate (Blue Source),EOS ACR 351,Ozone Depleting Substances,28562,Blue Source,http://www.bluesource.com/,El Dorado,AR
142,EOS Climate (Blue Source),EOS ACR 352,Ozone Depleting Substances,68637,Blue Source,http://www.bluesource.com/,El Dorado,AR
143,EOS Climate (Blue Source),EOS ACR 356,Ozone Depleting Substances,110720,Blue Source,http://www.bluesource.com/,El Dorado,AR
144,EOS Climate (Blue Source),EOS ACR 357,Ozone Depleting Substances,84131,Blue Source,http://www.bluesource.com/,El Dorado,AR
145,EOS Climate (Blue Source),EOS ACR 358,Ozone Depleting Substances,60749,Blue Source,http://www.bluesource.com/,El Dorado,AR
146,EOS Climate (Blue Source),EOS ARB ODS 2013-1,Ozone Depleting Substances,107542,Blue Source,http://www.bluesource.com/,El Dorado,AR
147,EOS Climate (Blue Source),EOS ARB ODS 2013-2,Ozone Depleting Substances,55996,Blue Source,http://www.bluesource.com/,El Dorado,AR
148,EOS Climate (Blue Source),EOS ARB ODS 2013-3,Ozone Depleting Substances,122800,Blue Source,http://www.bluesource.com/,El Dorado,AR
149,EOS Climate (Blue Source),EOS ARB ODS 2013-5,Ozone Depleting Substances,126155,Blue Source,http://www.bluesource.com/,El Dorado,AR
150,EOS Climate (Blue Source),EOS ARB ODS 2013-6,Ozone Depleting Substances,51864,Blue Source,http://www.bluesource.com/,El Dorado,AR
151,EOS Climate (Blue Source),EOS ARB ODS 2013-7,Ozone Depleting Substances,84418,Blue Source,http://www.bluesource.com/,El Dorado,AR
152,EOS Climate (Blue Source),EOS ARB ODS 2013-8,Ozone Depleting Substances,67490,Blue Source,http://www.bluesource.com/,El Dorado,AR
153,EOS Climate (Blue Source),EOS ARB ODS 2014-1,Ozone Depleting Substances,122080,Blue Source,http://www.bluesource.com/,El Dorado,AR
154,EOS Climate (Blue Source),EOS ARB ODS 2014-2,Ozone Depleting Substances,33214,Blue Source,http://www.bluesource.com/,El Dorado,AR
155,EOS Climate (Blue Source),EOS CAR 1074,Ozone Depleting Substances,57134,Blue Source,http://www.bluesource.com/,El Dorado,AR
156,Fair Oaks Dairy,Fair Oaks Dairy Farm LLC,Livestock,132079,Fair Oaks Dairy,https://fofarms.com/,Fair Oaks,IN
157,Farm Power Lynden,Farm Power Lynden Anaerobic,Livestock,51336,Farm Power Lynden,https://www.farmpower.com/,Lynden,WA
158,Blue Source,Blue Source – Bishop Improved,U.S. Forest,2514594,Blue Source,http://www.bluesource.com/,Grayling,MI
159,Blue Source,Blue Source – Lonesome Pine,U.S. Forest,447124,Blue Source,http://www.bluesource.com/,Wise,Virginia
160,Blue Source,Blue Source – Marmet,U.S. Forest,823265,Blue Source,http://www.bluesource.com/,Logan,WV
161,Finite Carbon,Finite Carbon –,U.S. Forest,3430380,Finite Carbon,https://www.finitecarbon.com/,Somerset,ME
162,Finite Carbon,Finite Carbon – Berry Summit,U.S. Forest,196786,Finite Carbon,https://www.finitecarbon.com/,Willow Creek ,CA
163,Finite Carbon,Finite Carbon – Brosnan Forest,U.S. Forest,286277,Finite Carbon,https://www.finitecarbon.com/,Charleston,SC
164,Finite Carbon,Finite Carbon – Colville IFM,U.S. Forest,12336210,Finite Carbon,https://www.finitecarbon.com/,Nespelem,WA
165,Finite Carbon,Finite Carbon – JTO Champion,U.S. Forest,889885,Finite Carbon,https://www.finitecarbon.com/,Tupper Lake,NY
166,Finite Carbon,Finite Carbon – Lyme Grand,U.S. Forest,484167,Finite Carbon,https://www.finitecarbon.com/,Somerset,ME
167,Finite Carbon,Finite Carbon – Molpus Ataya,U.S. Forest,2576141,Finite Carbon,https://www.finitecarbon.com/,Campbell,TN
168,Finite Carbon,Finite Carbon – MWF,U.S. Forest,239305,Finite Carbon,https://www.finitecarbon.com/,Shakopee,TN
169,Finite Carbon,Finite Carbon – NEFF,U.S. Forest,55767,Finite Carbon,https://www.finitecarbon.com/,Concord,NH
170,Finite Carbon,Finite Carbon – Potlatch Moro,U.S. Forest,278080,Finite Carbon,https://www.finitecarbon.com/,Hampton,AR
171,Finite Carbon,Finite Carbon – Sealaska,U.S. Forest,9599861,Finite Carbon,https://www.finitecarbon.com/,Juneau,AK
172,Finite Carbon,Finite Carbon – Shannondale,U.S. Forest,137536,Finite Carbon,https://www.finitecarbon.com/,Shannondale,MO
173,Finite Carbon,Finite Carbon – Tennessee,U.S. Forest,298672,Finite Carbon,https://www.finitecarbon.com/,Chattanooga,TN
174,Finite Carbon,Finite Carbon – The,U.S. Forest,2626763,Finite Carbon,https://www.finitecarbon.com/,Franklin,NY
